xview_dataset\10_5.jpg,388,466,416,480,1
xview_dataset\10_5.jpg,416,926,429,934,0
xview_dataset\10_5.jpg,410,905,429,918,0
xview_dataset\10_6.jpg,416,126,429,134,0
xview_dataset\10_6.jpg,410,105,429,118,0
xview_dataset\100_1.jpg,22,869,33,881,0
xview_dataset\100_2.jpg,22,69,33,81,0
xview_dataset\100_2.jpg,49,918,64,927,0
xview_dataset\100_2.jpg,90,270,102,284,0
xview_dataset\100_2.jpg,98,271,107,282,0
xview_dataset\100_3.jpg,61,280,82,291,1
xview_dataset\100_3.jpg,58,382,68,396,0
xview_dataset\100_3.jpg,61,275,79,284,1
xview_dataset\100_3.jpg,38,391,47,403,0
xview_dataset\100_3.jpg,93,408,103,421,0
xview_dataset\100_3.jpg,47,407,57,420,0
xview_dataset\100_3.jpg,62,433,74,448,0
xview_dataset\100_3.jpg,74,447,84,460,0
xview_dataset\100_3.jpg,92,459,103,472,0
xview_dataset\100_3.jpg,64,287,83,298,1
xview_dataset\100_3.jpg,65,398,74,411,0
xview_dataset\100_3.jpg,76,303,91,314,1
xview_dataset\100_3.jpg,83,434,96,450,0
xview_dataset\100_3.jpg,84,352,96,367,0
xview_dataset\100_3.jpg,90,176,99,187,0
xview_dataset\100_3.jpg,103,203,113,214,0
xview_dataset\100_3.jpg,106,165,114,182,0
xview_dataset\100_3.jpg,58,205,69,217,0
xview_dataset\100_3.jpg,67,200,76,214,0
xview_dataset\100_3.jpg,78,312,95,324,1
xview_dataset\100_3.jpg,13,255,24,270,0
xview_dataset\100_3.jpg,48,304,59,316,0
xview_dataset\100_3.jpg,21,302,34,317,1
xview_dataset\100_3.jpg,11,305,21,317,0
xview_dataset\100_3.jpg,40,353,51,366,0
xview_dataset\100_3.jpg,37,327,46,338,0
xview_dataset\100_3.jpg,58,326,70,340,0
xview_dataset\100_3.jpg,43,262,60,275,0
xview_dataset\100_3.jpg,86,511,98,521,0
xview_dataset\100_3.jpg,92,526,104,533,0
xview_dataset\100_3.jpg,83,185,98,196,0
xview_dataset\100_3.jpg,77,888,85,901,0
xview_dataset\100_3.jpg,67,886,77,901,0
xview_dataset\100_3.jpg,32,883,40,896,0
xview_dataset\100_3.jpg,85,864,96,872,0
xview_dataset\100_3.jpg,101,839,112,847,0
xview_dataset\100_3.jpg,95,834,108,843,0
xview_dataset\100_3.jpg,90,827,106,837,0
xview_dataset\100_3.jpg,85,821,100,830,0
xview_dataset\100_3.jpg,79,811,91,819,0
xview_dataset\100_3.jpg,105,792,113,805,0
xview_dataset\100_3.jpg,8,639,23,652,0
xview_dataset\100_3.jpg,28,663,37,674,0
xview_dataset\100_3.jpg,60,724,73,738,0
xview_dataset\100_3.jpg,87,519,102,529,0
xview_dataset\100_3.jpg,23,729,39,738,0
xview_dataset\100_3.jpg,61,782,73,791,0
xview_dataset\100_3.jpg,55,776,68,785,0
xview_dataset\100_3.jpg,50,770,63,780,0
xview_dataset\100_3.jpg,46,765,58,774,0
xview_dataset\100_3.jpg,44,757,59,768,0
xview_dataset\100_3.jpg,40,752,52,761,0
xview_dataset\100_3.jpg,62,788,75,796,0
xview_dataset\100_3.jpg,74,174,86,182,0
xview_dataset\100_3.jpg,18,181,32,191,0
xview_dataset\100_3.jpg,67,159,86,171,0
xview_dataset\100_3.jpg,3,627,14,639,0
xview_dataset\100_3.jpg,5,361,12,371,0
xview_dataset\100_3.jpg,64,186,79,195,0
xview_dataset\100_3.jpg,2,696,16,707,0
xview_dataset\100_3.jpg,45,199,54,213,0
xview_dataset\100_3.jpg,49,4,64,13,0
xview_dataset\100_3.jpg,44,169,57,183,0
xview_dataset\102_1.jpg,549,361,566,373,0
xview_dataset\102_1.jpg,600,475,615,489,0
xview_dataset\102_1.jpg,767,441,784,456,0
xview_dataset\102_1.jpg,544,325,554,335,0
xview_dataset\102_1.jpg,560,401,583,412,0
xview_dataset\102_1.jpg,601,406,618,418,0
xview_dataset\102_1.jpg,573,433,590,445,0
xview_dataset\102_1.jpg,585,482,600,493,0
xview_dataset\102_1.jpg,533,311,553,321,0
xview_dataset\102_1.jpg,346,78,362,89,0
xview_dataset\102_1.jpg,158,79,177,91,0
xview_dataset\102_1.jpg,149,83,165,95,0
xview_dataset\102_1.jpg,128,93,148,103,0
